Genotype,Envir,Management,Row,Position,Weight_sample,R,P,Weight_sample_spats_residuals,Weight_sample_spats_geno_pred_values,Weight_sample_spats_adj_pheno
1889,BEL_2019_1,1,18,80,0.3,18,80,-0.79085086434623,1.1482864746501,0.357435610303869
1889,BEL_2019_1,1,17,9,0.72,17,9,-0.310947777279634,1.1482864746501,0.837338697370465
1893,BEL_2019_1,1,19,101,0.48,19,101,-0.828098316242188,1.48022646305505,0.65212814681286
1900,BEL_2019_1,1,22,22,2.26,22,22,-0.481641502924929,2.67997057112007,2.19832906819514
1900,BEL_2019_1,1,22,113,3.3,22,113,0.642789328229146,2.67997057112007,3.32275989934922
1901,BEL_2019_1,1,17,108,2.06,17,108,0.0033058633790648,2.3983513535993,2.40165721697837
1901,BEL_2019_1,1,20,4,2.18,20,4,-0.0743664918984455,2.3983513535993,2.32398486170086
1910,BEL_2019_1,1,23,22,0.56,23,22,-0.897741575287956,1.39576407680202,0.498022501514064
192,BEL_2019_1,1,17,43,2.44,17,43,-0.03910172979342,2.43711066620756,2.39800893641414
1935,BEL_2019_1,1,17,72,1.68,17,72,-0.857643796329381,2.59928093069346,1.74163713436408
1935,BEL_2019_1,1,20,38,3.7,20,38,0.952259171156687,2.59928093069346,3.55154010185015
1951,BEL_2019_1,1,20,41,1.44,20,41,-0.963892228427177,2.25411250529757,1.29022027687039
1951,BEL_2019_1,1,18,72,3.02,18,72,0.773899801714836,2.25411250529757,3.02801230701241
1952,BEL_2019_1,1,18,25,3.56,18,25,0.392173871516815,3.14846016800459,3.54063403952141
1952,BEL_2019_1,1,25,97,3.48,25,97,0.155265933016286,3.14846016800459,3.30372610102088
1962,BEL_2019_1,1,18,6,3.9,18,6,0.11399690788002,3.88591216568927,3.99990907356929
1962,BEL_2019_1,1,23,115,4.94,23,115,1.04150718167952,3.88591216568927,4.92741934736879
197,BEL_2019_1,1,21,114,2.14,21,114,-0.135718515683215,2.3591723703568,2.22345385467359
